"Reference","Photo_No","ImgBox","DigitalID","Date_Added","Source","Date","Subject","Notes","Details","Creator","Location","Dimensions","Condition","Format","Copyright","Seq_No","e18","e19"
"01110","1110","14","DF01367","","Mrs B Goggins","","Mrs Rosa Malyon","","Mrs Rosa Malyon wife of T J Malyon","Webb & Webb, 136 Swanston St, Melbourne.","Melbourne","13.2x10.5cm","Damaged and faded","Tiff","","1396","",""
"01111","1111","14","DF01368","7/06/1905","Mrs B Goggins","","Rosa Beatrice Malyon - daughter of Rev T J Malyon","","Rosa Beatrice Malyon as an infant - daughter of T J Malyon","Thos Matthewson Co, Brisbane","Brisbane","11.4x8.7cm","Fair","Tiff","","1397","",""
"01112","1112","14","DF01369","","Mrs B Goggins","","Rev T J Malyon","","Rev T J Malyon with a family group","Unknown","Unknown","14.1x8.8cm","Faded","Tiff","","1398","",""
"01113","1113","14","DF01370","","Mrs B Goggins","","Malyon family group","","Malyon family group - Rosa Malyon with Samuel Crawford and Caroline Marion Malyon","G L Collis, 32 Rye Lane, London","London","10.0x6.2cm","Damaged","Tiff","","1399","",""
"01114","1114","14","DF01371","","Mrs B Goggins","","Caroline Marion Malyon (rear) with sister Esther Constance (front)","","Carolne and Constance Malyon","Unknown","Unknown","10.1x5.7cm","Poor quality","Tiff","","1400","",""
"01115","1115","14","DF01373","","","1972","South Brisbane Centenary Torch ceremony","","Mr S Stieler (as Rev T L Davies Pastor 1977-1979)","unknown","unknown","13.1x9.9cm","Clear B&W","Tiff","","1401","",""
"01116","1116","14","DF01374","","","1972","Sth Brisbane Centenary torch ceremony","","Mr John Smart (as Rev Wm Poole, Pastor 1880-1911)","unknown","Unknown","13.1x9.9cm","Fair","Tiff","","1402","",""
"01117","1117","14","DF01375","","","1972","Sth Brisbane Centenary torch ceremony","","Mr M Boardman (as Rev Wm Bell, pastor 1911-1931","unknown","unknown","13.1x9.9cm","B&W","Tiff","","1403","",""
"01118","1118","14","DF01376","","","1972","Sth Brisbane Centenary torch ceremony","","Mr and Mrs C McLean (as Rev and Mrs P Lanyon, pastor 1931-1936)","unknown","unknown","13.1x9.9cm","B&W","Tiff","","1404","",""
"01119","1119","14","DF01380","","","1972","Sth Brisbane Centenary torch ceremony","","Mr Liester Wallis (as Rev T C Warriner, Pastor 1937-1940)","unknown","unknown","13.1x9.9cm","B&W","Tiff","","1405","",""
"01120","1120","14","DF01381","","","1972","Sth Brisbane Centenary torch ceremony","","Mr H W Symes (as Rev A T Whale, Pastor 1943-19470 with Mrs M Simmons and Liester Wallis in background.","unknown","unknown","13.1x9.9cm","B&W","Tiff","","1406","",""
"01121","1121","14","DF01382","","","1972","Sth Brisbane Centenary torch ceremony","","Mr N W Mergard (Pastor 1961-1977) with mr C McLean and Mr and Mrs M Boardman in the background.","unknown","unknown","13.1x9.9cm","B&W","Tiff","","1407","",""
"01122","1122","14","DF01383","","","1972","Sth Brisbane Centenary torch ceremony","","Mr Richard Croft (as Rev J H Knights, Pastor 1947-1948) with Miss Pam Paget, Mr H W Symes and Mrs M Simmons in background.","unknown","unknown","13.1x9.9cm","B&W","Tiff","","1408","",""
"01123","1123","14","DF01377","","","1972","Sth Brisbane Centenary torch ceremony","","Mr H W Symes, Mrs M Simmons and Mr Liester Wallis","unknown","unknown","13.1x9.9cm","B&W","Tiff","","1409","",""
"01124","1124","14","DF01378","","","1972","Sth Brisbane Centenary torch ceremony","","Mr and Mrs John Smart (as Rev and Mrs Wm Poole)","unknown","unknown","13.1x9.9cm","B&W","Tiff","","1410","",""
"01125","1125","14","DF01379","","","1972","Sth Brisbane Centenary torch ceremony","","Mr Peter Johnson, Mr Rchard Croft, Miss Pam Paget and Mr H W Symes","unknown","unknown","13.1x9.9cm","B&W","Tiff","","1411","",""
"1126","","254","DF0385","","","1969","Coorparoo BC","","Baptist Church buiding, Temple Street, Coorparoo","unknown","Coorparoo","20.6x15.8cm","Good B&W","Tiff","","1412","",""
"1127","","14","DF01386","","","1972","South Brisbane Centenary event","","Handing on of the torch - South Brisbane","Unknown","South Brisbane","12.7x10.2cm","B&W","Tiff","","1413","",""
"1128","","14","DF01387","","","1972","South Brisbane Centenary event","","Handing on of the torch - South Brisbane","Unknown","South Brisbane","12.7x10.2cm","B&W","Tiff","","","",""
"1129","","14","DF01388","","","1972","South Brisbane Centenary event","","Handing on of the torch - South Brisbane","Unknown","South Brisbane","12.7x10.2cm","B&W","Tiff","","","",""
"1130","","14","DF01389","","","1972","South Brisbane Centenary event","","Handing on of the torch - South Brisbane - Mr M Boardman","Unknown","South Brisbane","12.7x10.2cm","B&W","Tiff","","","",""
"1131","","14","DF01390","","","1972","South Brisbane Centenary event","","Handing on of the torch - South Brisbane - Mr and Mrs S C Stieler","Unknown","South Brisbane","12.7x10.2cm","B&W","Tiff","","","",""
"1132","","14","DF01391","","","1972","South Brisbane Centenary event","","Historical procession - South Brisbane - Lance Mergard, Mr and Mrs J Smart","Unknown","South Brisbane","12.7x10.2cm","B&W","Tiff","","","",""
"1133","","14","DF01392","","","1972","South Brisbane Centenary event","","Historical procession - South Brisbane - Stanley Street, southernendf Victoria Bridge","Unknown","South Brisbane","12.7x10.2cm","B&W","Tiff","","","",""
"1134","","14","DF01393","","","1972","South Brisbane Centenary event","","Historical procession - South Brisbane - Vintage cars in Stanley Street","Unknown","South Brisbane","12.7x10.2cm","B&W","Tiff","","","",""
"1135","","14","DF01394","","","1920","High Wycombe Athletic Football Club 1919-20","","Photo of UK Soccer Team at High Wycombe Baptist Church 1919-20.  Photo contains team members and managers including Rev James Mursell (City Tab)-middle row seated on left hand end","Unknown","High Wycombe UK","29.7x21.0cm","B&W","Tiff","","","",""
"1136","","14","DF01395","","","1969","Opening new Geebung BC","","people attending the official opening of the new Geebung BC on 11 October 1969","Beth Howarth","Geebung","10.1x8.3cm","B&W fair","Tiff","","","",""
"1137","","14","DF01396","","","1949","Boys Camp August 1949","","Boys and leaders at 1949 Boys Camp from Geebung","Beth Howarth","Unknown","8.9x6.4cm","B&Wdamaged","Tiff","","","",""
"1138","","14","DF01397","","","1969","Geebung BC building","","Church building taken on opening day","Beth Howarth","Geebung","9.8x8.2cm","B&W","Tiff","","","",""
"1139","","14","DF01398","","","1940s","Rev Albert Butler","","Rev Albert Butler City Tabernacle BC","Unknown","Unknown","20.1x16.1cm","B&W","Tiff","","","",""
"1140","","14","DF01399","","","1946-1948","Album of photos of Gospel Wagon","","Album of photos of Rev Max Howard with the gospel wagon and various places and people taken between 1946 and 1948.","Max Howard","Various locations around Queensland","various sizes","B&W fair","Tiff","","","",""
"1141","","14","DF01400","","","","Tieri BC congregation","","Church service at Tieri BC (date unknown)","Unknown","Tieri","17.4x12.5cm","Colour good","Tiff","","","",""
"1142","","14","DF01401","","","2013","Former Roma BC church building","","Old Roma BC taken in October 2013","Unknown","Roma","15.2x10.2cm","Colour good","Tiff","","","",""
"1143","","14","DF01402","","","1906","Boonah - postcard photo dated 19 October 1906","","Boonah township in 1906","Unknown","Boonah","12.0x8.2cm","sepia fair condition","Tiff","","","",""
"1144","","14","DF01403","","","","Rev S and Mrs Newell","","Rev S Newell second pastor at Kalbar who inaugurated fifth Sunday exchange with Boonah","Unknown","Kalbar","11.7x7.0cm","sepia fair condition","Tiff","","","",""
"1145","","14","DF01404","","","","Rev R T and Mrs Farquhar","","Rev R T Farquhar who became pastor at Boonah in 1939.  With Mrs Farquhar.","Unknown","Boonah","6.1x5.9cm","sepia fair condition","Tiff","","","",""
"1146","","14","DF01405","","","1931","First W L Jarvis mission tent at Boonah in 1931.  Tent was erected where the current (3rd) church building stands","","The 1931 W L Jarvis Mission held in Boonah","Unknown","Boonah","13.3x8.2cm","sepia fair condition","Tiff","","","",""
"1147","","14","DF01406","","","1927","Opening of the new (2nd) church building on 1 January 1927.","","Second church building opening on 1.1.1927","Unknown","Boonah","16.2x12.0cm","sepia fair condition","Tiff","","","",""
"1148","","14","DF01407","","","","Pastor Nielsen and Mrs Nielsen on the way to conducting Sunday morning service at Charlwood","","Pastor Nielsen travelling by sulky to Sunday morning services","Unknown","Unknown","13.2x8.3cm","B&W fair condition","Tiff","","","",""
"1149","","14","DF01408","","","","First Boonah church building erected in 1888","","Original church building at Boonah","Unknown","Boonah","16.3x11.3cm","B&W good","Tiff","","","",""
"1150","","14","DF01409","","","","Opening of the new (3rd) Boonah church building on 1 October 1966.","","Third Boonah Church building opening October 1966","Unknown","Boonah","13.6x8.8cm","colour","Tiff","","","",""
"1151","","14","DF01410","","","","The current (3rd) Boonah church next to the previous (2nd) church building","","Current and previous church buildings at Boonah.","Unknown","Boonah","17.1x12.4cm","B&W good","Tiff","","","",""
"1152","","14","DF01411","","","","Mr Ben Huth a local preacher from Kalbar with family.  Preached at Boonah on occasions.","","Lay preacher from Kalbar - Mr B J Huth with wife and child.","Unknown","Unknown","11.3x7.9cm","sepia fair condition","Tiff","","","",""
"1153","","14","DF01413","","","","Henri Nielsen who was honorary pastor at Boonah for 27 years","","Pastor Henri Nielsen","Unknown","Unknown","13.1x7.9cm","Fair","Tiff","","","",""
"1154","","14","DF01412","","","","Early photo of Boonah church building with Pastor Henri Nielsen in forground","","Early Boonah church building","Unknown","Boonah","12.8x7.9cm","Fair","Tiff","","","",""
"1155","","14","DF01414","","","1925","Pastor Henri Nielsen and officers of Boonah church.","","Pstor and officers at Boonah. Standing: J Schneider (Jnr), H F Moller. Seated: Jschneider (Snr), Pastor Henri Nielsen, F Schneider.","Unknown","Unknown","19.3x14.0cm","Fair","Tiff","","","",""
"1156","","14","DF01415","","","1999","Nambour Baptist Youth Leader Camp at Frasr Island","","Nambour Baptist Youth Camp leader Pastor Kerry Evans (in white shirt)","Unknown","Fraser Island","14.8x10.1cm","Colour - dark","Tiff","","","",""
"1157","","14","DF01416","","","","Karilyn Nelson Youth Leader","","Jigsaw (High School) Rockhampton leader Karilyn Nelson","Unknown","Rockhampton","14.8x10.1cm","colour","Tiff","","","",""
"1158","","14","DF01417","","","2000","Baptist Youth Ministries Queensland combined camp","","Combined Youth Camp April 2000","Unknown","Unknown","14.8x10.1cm","colour","Tiff","","","",""
"1159","","14","DF01418","","","1999","Kingaroy Youth Camp Bunya Mountains 19-21 March 1999","","19-21 March 1999 Youth Vamp from Kingaroy - John and Iris Plastow (back left side) and Russell and Diane Lebsanft (middle back) Youth Ministry leaders.","Unknown","Unknown","14.8x10.1cm","colour","Tiff","","","",""
"1160","","14","DF01419","","","1999","Salisbury Youth group - Leaders Kent and Vanessa Coppard","","Salisbury Youth before Youth service on 7 March 1999","Unknown","Unknown","14.8x10.1cm","colour","Tiff","","","",""
"1161","","14","DF01420","","Clarke Taringa BC","1939","Rev Max Howard and family","","Rev Howard and family at Silkstone BC 1939","Unknown","Silkstone","14.0x8.8cm","Good B&W","Tiff","","","",""
"1162","","14","DF01421","","Clarke Taringa BC","1946","Watson family Taringa","","Mr & Mrs Watson Taringa BC and family taken at Taringa 15 December 1946","Gwen Clarke","Taringa","13.4x8.4cm","Fair B&W","Tiff","","","",""
"1163","","14","DF01422","","Clarke Taringa BC","","Senior Girls Missionary Union group","","SGMU group at Currumbin camp. Gwen Clarke (2nd from left). Gladys Collins (Missionary) 5th from left.","Gwen Clarke","Currumbin","8.6x5.7cm","Fair B&W","Tiff","","","",""
"1164","","14","DF01423","","Clarke Taringa BC","","Gwen Clarke ad SS class Taringa BC","","Gwen Clarke and SS class","Gwen Clarke","Taringa","8.7x6.2cm","Fair B&W","Tiff","","","",""
"1165","","14","DF01424","","Clarke Taringa BC","","Mr H H Dean and daughter Gwen","","Mr H H Dean Treasurer of Taringa BC and daughter Gwen","Gwen Clarke","Taringa","8.4x5.9cm","Fair B&W","Tiff","","","",""
"1166","","14","DF01425","","Clarke Taringa BC","","Watson Wedding Taringa BC","","Ron and Kath Watson wedding","Gwen Clarke","Taringa BC","13.9x8.8cm","Fair B&W","Tiff","","","",""
"1167","","14","DF01426","","","","Christine Laurel Howard","","Christine Laurel Howard at 4.5 months","Gwen Clarke","Taringa BC","13.4x8.1cm","Fair B&W","Tiff","","","",""
"1168","","5","DF01427","","","","Kalbar BC Deacons and Committee - See Church history 1875-1925 for details","","(back) W Huth, F HEIT, J Muller (middle) W Wolter, H Schneider, A Pfeffer, A Wolter, A Korner (front) C Muller, F C Muller (Secretary), Rev S Newell, H Neilsen (Pastor Boonah BC), H Stibbe (Treasurer).","Kalbar church history book","Kalbar","19.9x14.1cm","Good B&W","Tiff","","","",""
"1169","","5","DF01428","","","","Kalbar Boonah Group -See Kalbar church history for details","","(back) J Schneider Jnr., H Moller, H Neilsen (front) J SCHNEIDER Snr., F Schneider.","Kalbar church history book","Boonah","19.7x14.2cm","Good B&W","Tiff","","","",""
"1170","","5","DF01429","","","","Taringa BC Choir","","Taringa Choir: (front) Oliver Dart, Ivy Atkin (ne Glassop), Charles Watson, Rev Hilton White and Mrs White, Vic Dean, Joyce Glassop (nee Kent), Walter Neundorf (second) Miss Ladbrook, Ann Singer, Maude Challinor, Dora Adam (nee Foley), Elizabeth O'Loughlin, Stensa Carter, Flo Garbutt (nee McDonald), Rita Howard, Gwen Worfold (nee Dean), Marjorie Enb (nee Ham), Mrs Farr (third) Feoff English, Laurie Howard, Marion Mollenhower (nee Farr), Irene Black (nee Clayton), Nancy Latimer (nee Ham), Ethel Ryder (nee Farr), Mrs Watson, Lloyd Worfold, Mr Farr (fourth) Jack Smith, Fred Foley, Ralph Mawby, Arnold Price, Stan Cannon, David Black.","Unknown","Taringa","24.3x18.2cm","Fair B&W","Tiff","","","",""
"1170","","5","DF01430","27/04/2018","","","Bulimba Baptist Church building","Elaine Ingram (daughter Rev J E White)","Bulimba BC building - early photo","Gaytone Studios Photographers","Bulimba","21.2x16.2cm","Good B&W","Tiff","","","",""
"1171","","5","DF01431","27/04/2018","","","Baptist Young Peoples' Camp at Currumbin","Elaine Ingram (daughter Rev J E White)","Young peoples' camp at Currumbin","Simpson, Bell & Co. Photographers , Coolangatta.","Currumbin","21.0x16.1cm","Fair","Tiff","","","",""
"1172","","5","DF01432","27/04/2018","","","Queensland Baptist College Committee","Elaine Ingram daughter of Rev J E White","","Regent Studios Brisbane","Brisbane","26.9x21.5cm","Good B&W","Tiff","","","",""
"1173","","5","DF01433","27/04/2018","","","Queensland Baptist College staff and students","Elaine Ingram","(front) H Simpson, W D Grimes, Rev W Bell, F Pfeffer (2nd) L Holywood, F Pell, J E White, W Holman, Faldridge (back) J Scully, R Smidt, P Evans, B Hohnke.","Unknown","Brisbane","26.5x21.5cm","faded B&W","Tiff","","","",""
"1174","","5","DF01434","27/04/2018","","1960","Queensland Baptist College staff and students","Elaine Ingram","Names are shown under the photo","Sidney Riley Brisbane","Brisbane","26.4x21.5cm","Good B&W","Tiff","","","",""
"1175","","5","DF01435","27/04/2018","","1935-36","Enoggera Baptist cricket club - B Grade Premiers","Elaine Ingram","Names are under the photo","Sidney Riley Studios","Brisbane","26.0x20.0cm","Good B&W","Tiff","","","",""
"1176","","5","DF01436","30/01/2019","","1956","Opening of Caloundra BC 15/12/1956","Rev K Kilah","Congregation at the opening of the Caloundra BC 15 December 1956.  Building one of the Erliest Home Mission design by Architect Ray Smith.","Unknown","Caloundra","41.0x25.0cm","Fair","Tiff","","","",""
"1177","","5","DF01437","30/01/2019","","late 1800s","Nundah Baptist Church Bible Class - about late 1800s","Elaine Ingram","Nundah BC Bible class","Unknown","Nundah","29.7x21.0cm","Poor - photocopy","Tiff","","","",""
"1178","","5","DF01438","30/01/2019","","1935","Enoggera BC original building","Elaine Ingram","Original BC at Enoggera used from 1935 to 1939","Unknown","Enoggera","7.9x5.7cm","Fair","Tiff","","","",""
"1179","","5","DF01439","30/01/2019","","","Street view of Rockhampton Tabernacle","Elaine Ingram","Rockhampton Tab ","Kodak Print","Rockhampton","8.1x6.1cm","Fair","Tiff","","","",""
"1180","","5","DF01440","30/01/2019","","?1937","Bulimba BC","Elaine Ingram","Interior view of Bulimba BC","Harrington Printers","Bulimba","8.4x6.1cm","Fair","Tiff","","","",""
"1181","","5","DF01441","30/01/2019","","","Young peoples' camp at Currumbin","Elaine Ingram","Currumbin Camp for Young people","Simpson, Bell and Co. Photographers Coolangatta","Currumbin","16.0x11.5cm","Good","Tiff","","","",""
"1182","","10","DF01442","6/02/2019","","","Biloela - early church building","","The first/early chrch buildingat Biloela","Unknown","Biloela","7.9x6.1cm","Fair","Tiff","","","",""
"1183","","10","DF01443","6/02/2019","","","Early Cairna church building","","First/early church building at Cairns","Unknown","Cairns","7.3x7.0cm","Fair","Tiff","","","",""
"1184","","10","DF01444","6/02/2019","","","Kunara Children's Home at Nundah","","Kunara Children's Home Nundah","Unknown","Nundah","10.0x4.3cm","Fair","Tiff","","","",""
"1185","","10","DF01445","6/02/2019","","","Children's ministry at Forest Lake","","Forest Lake Children's ministry","Unknown","Forest Lake","19.8x13.1cm","Good - colour","Tiff","","","",""
"1186","","10","DF01446","6/02/2019","","","Leader and children  - Children's ministry Forest Lake","","Children's ministry at Forest Lake","Unknown","Forest Lake","19.8x13.6cm","Good - colour","Tiff","","","",""
"1187","","10","DF01447","6/02/2019","","","Warwick BC Girl's Brigade troop","","Leaders and girls of the Warwick BC Girl's Brigade","Unknown","Warwick","17.7x12.7cm","Good - colour","Tiff","","","",""
"1188","","10","DF01448","6/02/2019","","","Warwick Boys Brigade Leaders","","David Hartshorn (left) and James Waites (right) Warwick BC Boys Brigade","Unknown","Warwick","15.0x10.2cm","Good - colour","Tiff","","","",""
"1189","","10","DF01449","6/02/2019","","","Warwick Girls Brigade leaders","","Leaders of the Warwick Girls Brigade BC","Unknown","Warwick","15.1x10.2cm","Good - colour","Tiff","","","",""
"1190","","10","DF01450","6/02/2019","","","Warwick Girls Brigade street march","","Street march Warwick Girls Brigade","Unknown","Warwick","15.1x10.2cm","Good - colour","Tiff","","","",""
"1191","","10","DF01451","6/02/2019","","","Warwick Boys Brigaders with Aboroginal didgeridoo player","","Didgeridoo player showing Boys Brigaders how to play","Unknown","Warwick","15.1x10.3cm","Good - colour","Tiff","","","",""
"1192","","10","DF01452","6/02/2019","","","Warwick Boys Brigaders with Aboroginal didgeridoo player","","Didgeridoo player showing Boys Brigaders how to play","Unknown","Warwick","15.1x10.3cm","Good - colour","Tiff","","","",""
"1193","","10","DF01453","6/02/2019","","","Clowns and other participants in street display","","Street display team Warwick BC","Unknown","Warwick","17.7x10.2cm","Good - B&W","Tiff","","","",""
"1194","","10","DF01454","6/02/2019","","","Warwick BC street display team","","Street display clowns Warwick BC","Unknown","Warwick","15.0x10.1cm","Good - colour","Tiff","","","",""
"1195","","10","DF01455","6/02/2019","","1996","Strret display clowns preparing for march Warwick BC","","Warwick BC preparing for street display","Unknown","Warwick","15.1x10.2cm","Good - colour","Tiff","","","",""
"1196","","10","DF01456","6/02/2019","","","Street performers Warwick BC","","Warwick BC street performers","Unknown","Warwick","15.1x10.2cm","Fair - smudging","Tiff","","","",""
"1197","","10","DF01457","6/02/2019","","","Warwick BC clown street performers","","Performers from Waewick BC","Unknown","Warwick","15.1x10.2cm","Fair - smudging","Tiff","","","",""
"1198","","10","DF01458","6/02/2019","","","Warwick BC Children's ministry","","Children's ministry - Two teams of Atlases trying to make the earth ball move their way","Unknown","Warwick","17.6x12.6cm","Good - colour","Tiff","","","",""
"1199","","10","DF01459","6/02/2019","","","Warwick BC children's ministries","","Warwick BC - Jumping castle","Unknown","Warwick","17.2x12.1cm","Good - colour","Tiff","","","",""
"1200","","10","DF01460","6/02/2019","","","Warwck BC","","Warwick BC clowns from street displays","Unknown","Warwick","28.4x20.2cm","Good - colour","Tiff","","","",""
"1201","","10","DF01461","6/02/2019","","","Emerald Children's ministry","","Two photos of children at Emerald BC childen'sministry","Unknown","Emerald","29.6x21.0cm","Good - colour","Tiff","","","",""
"1202","","10","DF01462","6/02/2019","","","Dr David Loder and Grace Davies","","David Loder and Grace Davies at Fortitude Valley QB Office","Unknown","Brisbane","14.9x10.1cm","Good - colour","Tiff","","","",""
"1203","","10","DF01463","13/02/2019","","1986","Atherton manse","","Manse at Atherton BC","Unknown","Atherton","13.0x8.8cm","Fair - colour","Tiff","","","",""
"1204","","10","DF01464","13/02/2019","","","Dr David Loder and Rhys McFadden","","Rhys McFadden with Dr Loder","Unknown","Brisbane","14.9x10.2cm","Good - colour","Tiff","","","",""
"1205","","10","DF01465","13/02/2019","","","Grace Davies","","Grace Davies at work","Unknown","Brisbane","14.9x10.2cm","Good - colour","Tiff","","","",""
"1206","","10","DF01466","20/02/2019","","1986","Magnetic Island church building with church notice board","","Notice board and church building Magnetic Island","Unknown","Magnetic Island","13.0x8.8cm","Fair - colour","Tiff","","","",""
"1207","","10","DF01467","20/02/2019","","1986","Magnetic  Island close up of church building","","Magnetic Island church building","Unknown","Magnetic Island","13.0x8.8cm","Good - colour","Tiff","","","",""
"1208","","10","DF01468","20/02/2019","","1986","Magnetic Island congregation in front of church building","","Congregation in front of Magnetic Island church building","Unknown","Magnetic Island","13.0x8.8cm","Good - colour","Tiff","","","",""
"1209","","10","DF01469","20/02/2019","","1986","Mt Isa Baptist Church building","","Church building Mt Isa","Unknown","Mt Isa","13.0x8.8cm","Good - colour","Tiff","","","",""
"1210","","10","DF01470","20/02/2019","","1986","Mt Isa Baptist Family Centre","","Family Centre Mt Isa","Unknown","Mt Isa","13.0x8.8cm","Good - colour","Tiff","","","",""
"1211","","10","DF01471","20/02/2019","","1986","Mt Isa congregation","","Congregation in front of Mt Isa Baptist centre","Unknown","Mt Isa","13.0x8.8cm","Good - colour","Tiff","","","",""
"1212","","10","DF01472","20/02/2019","Rhonda Nilssen","1986","Bowen congregation","","Congregation at Bowen Baptist March 1986","Unknown","Bowen","17.5x12.6cm","Good - colour","Tiff","","","",""
"1213","","10","DF01473","20/02/2019","","1986","Cairns Baptist church building entrance","","Entrance to Cairns Baptist","Unknown","Cairns","13.0x8.8cm","Good - colour","Tiff","","","",""
"1214","","10","DF01474","20/02/2019","","1986","Interior view of Cairns Baptist","","Cairns Baptist interior view","Unknown","Cairns","13.0x8.8cm","Good - colour","Tiff","","","",""
"1215","","10","DF01475","20/02/2019","","1986","Congregation at Cairns Baptist service","","Cairns Baptist service - part of congregation","unknown","Cairns","13.0x8.8cm","Good - colour","Tiff","","","",""
"1216","","10","DF01476","27/02/2019","","1983","Congregation in front of Charters Towers BC","","Charters Towers BC congregation","unknown","Charters Towers","14.0x8.9cm","Good","Tiff","","","",""
"1217","","10","DF01477","27/02/2019","","","Charters Towers congregation","","Charters Towers congregation in front of church building","unknown","Charters Towers","13.0x8.9cm","Good - color","Tiff","","","",""
"1218","","10","DF01478","27/02/2019","","","Charters Towers BC building","","Church building Charters Towers","unknown","Charters Towers","13.0x8.8cm","Good - colour","Tiff","","","",""
"1219","","10","DF01479","27/02/2019","","","Charters Towers BC  shaded area for tea","","Shaded area used for tea or quiet break","unknown","Charters Towers","13.4x8.8cm","Fair","Tiff","","","",""
"1220","","10","DF01480","27/02/2019","","","Small hall at back of building Charters Towers","","Small church hall","unknown","Charters Towers","13.4x8.8cm","Fair - poor lighting","Tiff","","","",""
"1221","","10","DF01481","13/03/2019","","1985","Airlie Beach - Airle Beach manse in 1985 at 2 Wambiri St, Cannonvale","","Manse at Airlie Beach 1985","unknown","Cannonvale","13.0x8.8cm","Good - colour","Tiff","","","",""
"1222","","10","DF01482","13/03/2019","","1986","Cannonvale State School - Airlie Beach church met there for about 3 years","","Demoutables at Cannonvale State School where Airlie Beach church met in late 1980s","unknown","Cannonvale","13.0x8.8cm","Good - colour","Tiff","","","",""
"1223","","10","DF01483","13/03/2019","","1986","Airlie Beach BC service in Cannonvale State School","","Airlie Beach BC service","unknown","Cannonvale","13.0x8.8cm","Good - colour","Tiff","","","",""
"1224","","10","DF01484","20/03/2019","","1986","For the first 6 months in Whitsunday Airlie Beach held worship services and other meetings in the manse lounge room - this is one of those meetings.","","Early Airlie Beach meeting in manse lounge room.","unknown","Cannonvale","13.0x8.8cm","Good -  colour","Tiff","","","",""
"1225","","10","DF01485","27/03/2019","","1960","Moore Park teachers and Sunday School class September 1960","","Teachers and scholars Moore Park SS 1960 - see history ""After Four Years""","S.A.Best P/L","Moore Park","25.4x20.4cm","Fair - B&W","Tiff","","","",""
"1226","","10","DF01486","27/03/2019","","1957-58","SS Teachers and scholars - Teachers in back row: Gwen Clarke, Betsy Campbell, Maida Neilsen, Jennifer Neilsen","","Moore Park SS class","S.A.Best P/L","Moore Park","25.4x20.5cm","Fair B&W","Tiff","","","",""
"1227","","10","DF01487","27/03/2019","","","Moore Park Junior Girls Missionary Union weekend camp with Emily Lord. Emily Lord and Gwen Clarke sitting on top step.","","Moore Park JGMU camp with Emily Lord at Redcliffe.","Unknown","Redcliffe","12.7x8.9cm","Good","T","","","",""
"1228","","10","DF01488","27/03/2019","","","Foundation members in front of church building","","Foundation members (l to r): Joyce Aaroe, Les Clarke, Joan and Wilf Grimes, Ken Nei;sen, Gwen Clarke, Ruth Watso.","Unknown","Moore Park","15.2x10.1cm","Good - colour","Tiff","","","",""
"1229","","10","DF01489","27/03/2019","","","Moore Park: Ken Neilsen, Wilf Grimes, Joan Grimes (unknown)","","Four Moore Park members","Unknown","Moore Park","15.2x10.1cm","Good - colour","Tiff","","","",""
"1230","","10","DF01490","27/03/2019","","","Moore Park: Gwen Clarke and Joan Audemard","","Gwen Clarke and Joan Audemard","Unknown","Moore Park","15.2x10.1cm","Good - colour","Tiff","","","",""
"1231","","10","DF01491","27/03/2019","","1961","Moore Park Diaconate: (front) Wilf Grimes, Fred Harbottle, Rev J C Farquhar, Stewart Cannon, Geoff English; (Back): Gordon Scorgie, Les Clarke, Charles Watson, Mervyn Watson","","Moore Park deacons 1961","Unknown","Moore Park","16.7x12.0cm","Fair - lighting poor","Tiff","","","",""
"1232","","10","DF01492","27/03/2019","","1959","Foundation members 19 January 1959: Les Clarke, Ken Smith, Gwen Clarke, Geoff English, Mrs L Lethem, Wilf Grimes,Joyce Aaroe (partly obscured), Joan Grimes, Ruth Watson, Mervyn Watson.  Children in front are Cheryl and Marilyn Clarke.","","Foundation members 1959","Unknown","Moore Park","11.0x8.2cm","Good B&W","Tiff","","","",""
"1233","","10","DF01493","24/04/2019","Bernice Goggins","","Malyon family group","","Holiday at Currumbin. L to R: Gwendoline Howes, May Ingram, Benice May Howes and Gwyneth Malyon Ingram (later Morgan).","""Simbel"" Print, Tweed Heads","Currumbin","7.6x5.2cm","Poor","Tiff","","","",""
"1234","","10","DF01494","24/04/2019","Bernice Goggins","","Malyon family group","","Off to war - L to R: Esther Constance Malyon, William John Howes (later Sgt. Major), Rosa Beatrice Malyon, Gwendoline Simmons (nee Howes) WAAF, Lilian Irene Malyon.","Unknown","Unknown","8.4x5.7cm","Fair","Tiff","","","",""
"1235","","10","DF01495","24/04/2019","Bernice Goggins","","The four Malyon girls, L to R: Esther Comstance, Rosa Beatrice, Caroline Marion and Lilian Irene.","","The four Malyon girls.","Unknown","Unknown","8.4x5.9cm","Fair","Tiff","","","",""
"1236","","78","DF01496","14/05/2019","Smith family collection","February 1959","Ms Emily Lord","","Emily Lord","Milton-HornStudio, 177 Collins St, Melbourne","Melbourne","16.2z11.4cm","Fair B&W","Tiff","","","",""
"1237","","79B","DF01499","21/05/2002","Ralph Sayce collection in Box 79B","","Rev R O Frewin","","Rev R O Frewin in front of the manse at Charters Towers.  The church can be seen in the top of the photo.","Unknown","Charters Towers","10.8x6.9cm","Good B&W","Tiff","","","",""
"1238","","191","DF01500","21/05/2019","","","Clayfield choir - no names provided - possibly 1920s","","Clayfield church choir","Regent Studios Brisbane","Clayfield","20.8x14.5cm","Good B&W","Tiff","","","",""
